sample_ratio,class_weight,resample_strat,depth,classifier,f1,sub_sample_ratio,ins_sample_ratio
,0,upsample,8,tree,0.4462606566642142,0.1414213562373095,0.049999999999999996
,0,upsample,9,tree,0.5147171322879749,0.1414213562373095,0.049999999999999996
,0,upsample,5,tree,0.500155420067094,0.1414213562373095,0.07071067811865475
,0,upsample,6,tree,0.4835227881300339,0.1414213562373095,0.07071067811865475
,0,upsample,7,tree,0.48437348346704634,0.1414213562373095,0.07071067811865475
,0,upsample,8,tree,0.41938064544964293,0.1414213562373095,0.07071067811865475
,0,upsample,9,tree,0.4973087542490877,0.1414213562373095,0.07071067811865475
,0,upsample,5,tree,0.4655960811573083,0.1414213562373095,0.1
,0,upsample,6,tree,0.47898928598296214,0.1414213562373095,0.1
,0,upsample,7,tree,0.47688667841586124,0.1414213562373095,0.1
,0,upsample,8,tree,0.48312040690178404,0.1414213562373095,0.1
,0,upsample,9,tree,0.46562720819008435,0.1414213562373095,0.1
,0,upsample,5,tree,0.5009049464212227,0.1414213562373095,0.1414213562373095
,0,upsample,6,tree,0.4931283668703368,0.1414213562373095,0.1414213562373095
,0,upsample,7,tree,0.47862925681260315,0.1414213562373095,0.1414213562373095
,0,upsample,8,tree,0.4614387283530403,0.1414213562373095,0.1414213562373095
,0,upsample,9,tree,0.46222598581783686,0.1414213562373095,0.1414213562373095
,0,upsample,5,tree,0.49972350344130484,0.1414213562373095,0.20000000000000004
,0,upsample,6,tree,0.5008901941579685,0.1414213562373095,0.20000000000000004
,0,upsample,7,tree,0.5086315224878041,0.1414213562373095,0.20000000000000004
,0,upsample,8,tree,0.47724287245645947,0.1414213562373095,0.20000000000000004
,0,upsample,9,tree,0.4679249544745508,0.1414213562373095,0.20000000000000004
,0,upsample,5,tree,0.38945463163733995,0.20000000000000004,0.049999999999999996
,0,upsample,6,tree,0.4915184812439895,0.20000000000000004,0.049999999999999996
,0,upsample,7,tree,0.39341959324187953,0.20000000000000004,0.049999999999999996
,0,upsample,8,tree,0.4737125202931312,0.20000000000000004,0.049999999999999996
,0,upsample,9,tree,0.4151685542732064,0.20000000000000004,0.049999999999999996
,0,upsample,5,tree,0.4084350491121865,0.20000000000000004,0.07071067811865475
,0,upsample,6,tree,0.41224907398268923,0.20000000000000004,0.07071067811865475
,0,upsample,7,tree,0.4663952091998104,0.20000000000000004,0.07071067811865475
,0,upsample,8,tree,0.4795697987685721,0.20000000000000004,0.07071067811865475
,0,upsample,9,tree,0.42349179293327505,0.20000000000000004,0.07071067811865475
,0,upsample,5,tree,0.41442775864405657,0.20000000000000004,0.1
,0,upsample,6,tree,0.4451656189485283,0.20000000000000004,0.1
,0,upsample,7,tree,0.46705102465661025,0.20000000000000004,0.1
,0,upsample,8,tree,0.4799110516309484,0.20000000000000004,0.1
,0,upsample,9,tree,0.46397574748582304,0.20000000000000004,0.1
,0,upsample,5,tree,0.46845013473534713,0.20000000000000004,0.1414213562373095
,0,upsample,6,tree,0.46323889280495223,0.20000000000000004,0.1414213562373095
,0,upsample,7,tree,0.5054488539644759,0.20000000000000004,0.1414213562373095
,0,upsample,8,tree,0.4515853904096981,0.20000000000000004,0.1414213562373095
,0,upsample,9,tree,0.4366360247219427,0.20000000000000004,0.1414213562373095
,0,upsample,5,tree,0.5012573140554181,0.20000000000000004,0.20000000000000004
,0,upsample,6,tree,0.47586354065035064,0.20000000000000004,0.20000000000000004
,0,upsample,7,tree,0.5049372550233905,0.20000000000000004,0.20000000000000004
,0,upsample,8,tree,0.4434785172661841,0.20000000000000004,0.20000000000000004
,0,upsample,9,tree,0.43669931174251025,0.20000000000000004,0.20000000000000004
